2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.EmotionmlParser Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.JTokeniser Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.DummyTokens2Words Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.Prosody Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.PronunciationModel Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.TargetFeatureLister Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.TargetFeatureLister Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.AcousticModeller Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.Realised acoustparams extractor Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.Realised durations extractor Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.HTSEngine Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.Praat TextGrid generator Module shut down.
2022-06-19 12:34:31,263 [Thread-1] INFO  marytts.main Shutdown complete.
